profile_text,Status,ProfileLoop.thisRepN,ProfileLoop.thisTrialN,ProfileLoop.thisN,ProfileLoop.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,ProfileText.started,slider.started,ProfileText.stopped,trial.stopped,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"Sam, 22, Delivery driver for a food service",Low,0,0,0,11,0.04751239999950485,,0.007651699999769335,0.04751239999950485,0.5579163999991579,1.5080705999998827,5.020617099999981,5.507988299999852,6.36093659999915,2.0,6.300999899999624,02,001,2024-11-28_18h58.15.927,solo,2024.1.5,None,2024-11-28 18h58.23.978156 +0530,
"Avery, 40, School Teacher in a primary school",Medium,0,1,1,8,6.375225499999942,,6.3613390999998956,6.375225499999942,6.890599699999257,7.8740827999999965,11.3738543999998,11.873840099999143,15.393508099999963,3.0,9.004637099999854,02,001,2024-11-28_18h58.15.927,solo,2024.1.5,None,2024-11-28 18h58.23.978156 +0530,
"Chris, 26, Part-time Cashier at a grocery store",Low,0,2,2,10,15.408894399999554,,15.393787699999848,15.408894399999554,15.923455199999808,16.90687909999997,20.406676999999945,20.906670699999268,21.410248399999546,3.0,5.987396099999387,02,001,2024-11-28_18h58.15.927,solo,2024.1.5,None,2024-11-28 18h58.23.978156 +0530,
"Damon, 30, Cleaner at a local office building",Low,0,3,3,12,21.42516169999999,,21.410546299999623,21.42516169999999,21.939812699999493,22.923043299999335,26.423001799999838,26.922977599999285,27.626482399999986,1.0,6.187691000000086,02,001,2024-11-28_18h58.15.927,solo,2024.1.5,None,2024-11-28 18h58.23.978156 +0530,
"Noah, 35, Janitor at a high school",Low,0,4,4,13,27.639359499999955,,27.62678169999981,27.639359499999955,28.139346199999636,29.139711399999214,32.639292199999545,33.13928919999944,33.79278669999985,1.0,6.139570399999684,02,001,2024-11-28_18h58.15.927,solo,2024.1.5,None,2024-11-28 18h58.23.978156 +0530,
"Jordan, 36, Neurosurgeon at a leading hospital",High,0,5,5,1,33.80580259999988,,33.79307879999942,33.80580259999988,34.30565529999967,35.30571129999953,38.805492599999525,39.305448799999795,39.8088072999999,7.0,5.990332600000329,02,001,2024-11-28_18h58.15.927,solo,2024.1.5,None,2024-11-28 18h58.23.978156 +0530,
"Alex, 40, CEO of successful tech company",High,0,6,6,0,39.82202749999942,,39.809092799999235,39.82202749999942,40.32193969999935,41.322212399999444,44.82185719999961,45.32204519999959,45.70865519999916,7.0,5.872988600000099,02,001,2024-11-28_18h58.15.927,solo,2024.1.5,None,2024-11-28 18h58.23.978156 +0530,
"Robin, 32, Sales Supervisor in a local electronics store",Medium,0,7,7,7,45.72283459999926,,45.708969199999956,45.72283459999926,46.23829139999998,47.22152299999925,50.721671099999185,51.22138189999987,51.65840989999924,4.0,5.922179700000015,02,001,2024-11-28_18h58.15.927,solo,2024.1.5,None,2024-11-28 18h58.23.978156 +0530,
"Morgan, 38, Managing Director of an investment firm",High,0,8,8,4,51.676241399999526,,51.65871139999945,51.676241399999526,52.188111799999206,53.17161579999993,56.67118489999939,57.17128039999989,57.491693199999645,7.0,5.801765199999863,02,001,2024-11-28_18h58.15.927,solo,2024.1.5,None,2024-11-28 18h58.23.978156 +0530,
"Riley, 50, Professor of Astrophysics at a top university",High,0,9,9,3,57.506822599999396,,57.491986,57.506822599999396,58.0211292999993,59.00464879999981,62.50427169999966,63.0041728999995,63.8576008,7.0,6.33704250000028,02,001,2024-11-28_18h58.15.927,solo,2024.1.5,None,2024-11-28 18h58.23.978156 +0530,
"Taylor, 45, Founder of a non-profit organization",High,0,10,10,2,63.8706216999999,,63.857877099999314,63.8706216999999,64.37077699999918,65.3708504999995,68.87076939999952,69.37048329999925,69.49098069999945,7.0,5.606430499999988,02,001,2024-11-28_18h58.15.927,solo,2024.1.5,None,2024-11-28 18h58.23.978156 +0530,
"Aaron, 25, Unemployed but volunteers occassionally",Low,0,11,11,14,69.5045244999992,,69.49140269999953,69.5045244999992,70.00379359999988,71.00369389999923,74.50368869999966,75.00341469999967,75.69026649999978,3.0,6.172536000000036,02,001,2024-11-28_18h58.15.927,solo,2024.1.5,None,2024-11-28 18h58.23.978156 +0530,
"Jamie, 29, Regional Manager at a retail store",Medium,0,12,12,5,75.7032780999998,,75.69054159999996,75.7032780999998,76.20324349999919,77.2035963999997,80.70337219999965,81.20328399999926,81.45635759999914,3.0,5.739497700000356,02,001,2024-11-28_18h58.15.927,solo,2024.1.5,None,2024-11-28 18h58.23.978156 +0530,
"Casey, 35, Accountant at a small financial firm",Medium,0,13,13,6,81.46973809999963,,81.45664939999915,81.46973809999963,81.96972659999938,82.96966609999981,86.46956909999972,86.96957159999965,87.70587949999936,5.0,6.225169800000003,02,001,2024-11-28_18h58.15.927,solo,2024.1.5,None,2024-11-28 18h58.23.978156 +0530,
"Quinn, 28, Assisstant Manager at a coffee chain",Medium,0,14,14,9,87.71914019999986,,87.7061592,87.71914019999986,88.21950419999939,89.21937009999965,92.71893759999966,93.21900399999959,93.38931119999961,5.0,5.65648659999988,02,001,2024-11-28_18h58.15.927,solo,2024.1.5,None,2024-11-28 18h58.23.978156 +0530,
